side,rep_count,min_angle,max_angle,mean_angle,speed,duration_flexion,duration_extension,label
right,1,22.95122166005075,170.4758110330398,106.16802641883685,16.48409256909126,4,6,perfect
right,2,17.020525611519854,169.5218234104675,105.70316433117333,16.94572606210493,4,6,perfect
right,3,10.978746685604827,168.29811397411652,104.39287179757397,17.479929698723524,4,6,perfect
left,1,1.6173397677578991,172.64606091040102,115.93973745326673,19.03700429024049,3,7,perfect
right,4,7.041250649060248,158.9721014642935,102.85797958852001,16.881205646137026,3,6,perfect
left,2,1.0515058510410105,173.1442920297937,104.64385076436199,20.626581804752405,4,6,perfect
left,3,2.9471028856298513,171.73818620735472,103.5774292150816,19.240262899363174,4,6,perfect
left,4,0.9839173322418436,167.93482812313013,115.80581758998126,19.148900628287105,3,7,perfect
right,5,26.912331996338484,158.5245664976331,110.80171397814627,14.623581611254956,2,8,perfect
left,5,0.8677867596920328,165.88115764107127,112.37386760850877,18.33481898681991,3,7,perfect
left,6,11.019997727900575,163.88418838618284,103.42871117915976,16.984910073142473,2,6,perfect
right,6,5.831431539421301,160.59878825274288,108.13493446004384,18.081389090752893,3,7,perfect
right,7,8.5106640582014,168.94431826231133,102.48388665551936,18.62535637724996,4,6,perfect
left,7,2.1455075460794086,171.25413198748598,101.2917401552081,18.83363624147343,4,6,perfect
left,8,0.024053642379116905,163.34025007925356,114.59717176115691,18.444226120514664,3,7,perfect
right,8,9.177861743288101,164.233642401917,115.12046506713043,17.522177627822288,3,7,perfect
