r_wrist_y_range,l_wrist_y_range,hip_y_range,neck_hip_angle_mean,neck_forward_shift,frames,r_elbow_shoulder_dx_mean,l_elbow_shoulder_dx_mean,r_elbow_range,l_elbow_range,label
225.0,230.0,29.5,1.4587128909579588,7.090909090909091,77,22.09090909090909,22.51948051948052,175.35173157972426,175.2603147830175,correct
223.0,231.0,50.0,1.676527293310612,7.953608247422681,97,25.7319587628866,17.927835051546392,175.34985325876224,173.45374671076883,correct
230.0,235.0,39.0,1.678097006380563,7.413793103448276,87,27.42528735632184,21.42528735632184,177.6858263505397,171.71254275799234,correct
241.0,232.0,38.0,2.8855349571096247,12.782051282051285,78,27.307692307692307,21.192307692307693,178.52722270070018,168.18133707334295,correct
245.0,235.0,44.0,2.294715250155294,9.825842696629213,89,30.44943820224719,20.820224719101123,178.18541004498672,176.9105800994359,correct
234.0,250.0,42.0,0.6859919662216216,-1.032967032967033,91,24.384615384615383,20.692307692307693,169.1035008086017,176.4041260131031,correct
246.0,251.0,40.0,1.8914945451024188,8.38,75,27.026666666666667,22.25333333333333,168.4205389277376,175.7635459226618,correct
248.0,253.0,43.0,1.281261448503351,2.4642857142857144,84,24.976190476190474,21.726190476190474,167.03657804819886,177.94653491348728,correct
237.0,241.0,38.0,1.2327148987418848,5.16,75,26.293333333333333,22.88,173.21661830972195,175.35416073557025,correct
231.0,226.0,45.5,3.964779427559285,16.107142857142858,70,30.757142857142856,19.142857142857142,179.6058806563153,175.1323534122843,correct
224.0,237.0,40.5,2.053640418646472,9.641975308641976,81,33.148148148148145,24.17283950617284,178.37705213079082,169.8991298492884,correct
248.0,244.0,42.0,3.6678364992468326,19.692307692307693,78,35.782051282051285,21.153846153846157,178.16253674241744,171.11619566734873,correct
259.0,243.0,37.5,2.9200426505242967,15.102941176470589,68,33.8235294117647,24.63235294117647,176.25015384652414,169.61713438479458,correct
276.0,258.0,55.0,4.379795586525043,21.93037974683544,79,32.10126582278481,20.354430379746837,179.41013550999864,173.914771582159,correct
253.0,241.0,52.0,3.610939337563588,18.54878048780488,82,34.86585365853659,23.451219512195124,179.95654007816646,174.4811333437939,correct
257.0,247.0,56.5,3.560038693756948,18.820224719101123,89,34.10112359550562,23.752808988764045,179.59193534100052,174.85917628711522,correct
235.0,232.0,37.5,3.949754824723329,19.66891891891892,74,29.635135135135137,19.824324324324323,179.7638162999394,172.34296222037324,correct
255.0,251.0,24.5,2.2254471265050504,12.603174603174605,63,37.61904761904762,16.936507936507937,179.5777898656368,174.89622997267134,correct
268.0,255.0,37.0,2.6746564337388583,14.853333333333332,75,39.45333333333333,18.36,179.30309349632682,175.0747809474504,correct
247.0,248.0,43.0,3.242056581752733,17.911290322580644,62,38.46774193548387,19.677419354838708,179.40914069204348,176.1160503819057,correct
274.0,248.0,46.0,2.769045682035974,14.766233766233766,77,33.064935064935064,18.233766233766232,178.6363702415385,173.75299685447288,correct
254.0,258.0,32.0,2.5293579574994887,13.861538461538462,65,34.27692307692308,17.476923076923075,175.90360399652997,172.9531263044207,correct
254.0,243.0,34.5,3.9229535959384743,20.83333333333333,75,31.973333333333333,17.626666666666665,179.95499453661643,178.3900292027487,correct
271.0,254.0,38.5,2.014324058491688,8.614285714285714,70,37.114285714285714,18.47142857142857,178.40075386503005,174.15002938906954,correct
242.0,250.0,37.5,5.473046422312824,28.587719298245613,57,33.578947368421055,20.719298245614038,177.32398040446083,168.38074893461564,partial_motion
198.0,226.0,29.0,5.273499641074653,20.89655172413793,29,34.89655172413793,14.655172413793103,164.4167837216947,162.53965819644432,partial_motion
236.0,236.0,52.5,3.933096131274551,21.132075471698112,53,37.886792452830186,22.641509433962263,179.47552786238052,173.6129458017486,partial_motion
235.0,246.0,32.5,3.445422068200266,17.7734375,64,38.921875,17.171875,177.84965710632693,177.49437054298554,partial_motion
227.0,245.0,27.0,4.610160957809146,24.511627906976745,43,32.604651162790695,11.69767441860465,175.2905867419783,175.8070912835519,partial_motion
239.0,242.0,39.0,4.757695119932427,25.26315789473684,76,36.78947368421053,16.82894736842105,178.0157360153901,169.33617447683508,partial_motion
267.0,246.0,36.0,3.9296514458974032,18.189393939393938,66,33.59090909090909,18.25757575757576,177.03142749638167,176.98409751430032,partial_motion
248.0,237.0,30.5,2.6195359180278777,15.658536585365852,41,35.14634146341464,25.21951219512195,179.00808070976285,173.07666645223918,partial_motion
211.0,222.0,33.5,3.357851437434568,18.705882352941178,34,32.14705882352941,15.852941176470589,176.06592353757665,164.76170465091988,partial_motion
139.0,162.0,30.5,1.1980105219416477,6.739130434782608,23,39.391304347826086,19.782608695652176,89.680174538172,96.7576438475854,partial_motion
120.0,141.0,33.5,3.0938759953447,16.985294117647058,34,34.94117647058823,27.205882352941178,88.65373860841223,88.28573844870544,partial_motion
143.0,121.0,39.5,1.290068614517034,-0.5967741935483871,31,38.38709677419355,25.70967741935484,89.96538897316219,88.0500592242025,partial_motion
221.0,231.0,31.5,4.304088994353505,22.01219512195122,41,34.63414634146341,26.65853658536585,178.1044986970958,170.51938396642794,partial_motion
239.0,242.0,43.5,4.317833515025984,22.127906976744185,86,32.372093023255815,22.023255813953487,177.18006777542965,172.24018839251238,partial_motion
231.0,260.0,28.5,3.97299762546424,22.09210526315789,38,33.94736842105263,21.55263157894737,179.63966970506453,176.65845609180334,partial_motion
242.0,240.0,37.0,3.5160031901786626,19.382978723404257,47,37.61702127659574,23.91489361702128,179.54332224379357,179.13724574412387,partial_motion
201.0,222.0,30.0,3.751988606730766,14.608108108108109,37,33.83783783783784,16.864864864864863,170.85782249480351,166.4054535536126,partial_motion
252.0,254.0,31.0,3.307865384491222,18.567307692307693,52,31.26923076923077,14.384615384615383,172.98785740807,176.33371500230194,partial_motion
242.0,246.0,28.0,3.1408443520800957,17.351063829787233,47,32.170212765957444,19.51063829787234,177.08344772163363,175.96254031101108,partial_motion
217.0,236.0,35.5,3.831477335726396,19.05555555555556,45,30.22222222222222,21.11111111111111,179.14165531021018,174.37811181183187,partial_motion
244.0,243.0,38.0,5.122975121570167,26.52083333333333,48,33.604166666666664,19.666666666666668,179.78180423078288,178.54031081339227,partial_motion
250.0,237.0,36.0,3.060857891118866,16.15625,48,36.375,17.916666666666668,179.88783798468617,177.72056877027066,partial_motion
260.0,243.0,30.5,4.297586439363302,21.851063829787236,47,36.04255319148936,17.638297872340427,179.89841051790455,179.0105883855618,partial_motion
252.0,241.0,35.0,2.7405172004803173,15.127659574468083,47,29.70212765957447,21.53191489361702,177.6878245936005,175.46326334787778,partial_motion
250.0,255.0,33.0,3.880162081150248,14.407894736842104,38,34.76315789473684,21.05263157894737,178.3240282421829,176.30244252000548,partial_motion
164.0,191.0,27.5,0.5674721884910888,0.0,62,28.887096774193548,47.80645161290322,177.6247858350937,179.29831826483743,elbow_out_of_place
172.0,199.0,19.0,0.9416526249729676,0.0,55,31.381818181818183,46.763636363636365,178.45784701582022,178.331396716753,elbow_out_of_place
147.0,157.0,21.5,0.8471644054173169,0.0,59,37.94915254237288,56.389830508474574,172.54957963544058,174.1547334032641,elbow_out_of_place
154.0,168.0,17.5,0.5415309692662373,0.0,70,35.17142857142857,53.54285714285714,176.1638296526692,173.62485938328476,elbow_out_of_place
188.0,216.0,28.0,0.7796739799444451,0.0,77,34.675324675324674,49.896103896103895,179.6291919850173,177.51355796118364,elbow_out_of_place
154.0,192.0,28.0,0.6029948484052344,0.0,62,34.693548387096776,47.064516129032256,175.96992793716277,171.0938858527379,elbow_out_of_place
171.0,212.0,17.0,0.6879024396682445,0.0,69,41.594202898550726,64.3913043478261,178.58953459973864,174.37170689231314,elbow_out_of_place
178.0,196.0,17.0,5.158043577817001,-29.511904761904763,42,39.76190476190476,57.21428571428572,179.09446272960275,173.69343804206144,elbow_out_of_place
158.0,184.0,11.0,6.458961904293807,-32.191489361702125,47,37.80851063829788,73.1063829787234,173.27235348694617,171.33322141325388,elbow_out_of_place
162.0,202.0,11.0,5.758971774652332,-28.82051282051282,39,47.35897435897436,74.56410256410257,167.0531197491352,159.50312936996943,elbow_out_of_place
167.0,195.0,12.5,5.381630936523956,-26.15853658536585,41,51.68292682926829,80.14634146341463,163.26327659923953,155.91899101674224,elbow_out_of_place
176.0,200.0,16.0,5.060788648020126,-26.264705882352946,34,38.1764705882353,50.38235294117647,151.39360443376546,144.14001278584144,elbow_out_of_place
167.0,190.0,17.0,4.194355425897235,-21.25862068965517,29,42.86206896551724,50.0,157.38552375444806,154.26924845547472,elbow_out_of_place
170.0,176.0,20.0,2.448392430579676,-12.264705882352942,34,38.794117647058826,52.55882352941177,150.08179722435642,139.85154575086898,elbow_out_of_place
174.0,186.0,18.5,2.452883773085021,-12.426829268292684,41,41.04878048780488,50.24390243902439,154.32535165850277,136.41802510108485,elbow_out_of_place
155.0,174.0,14.5,0.667784938638673,-0.5512820512820513,39,60.69230769230769,72.46153846153847,173.2841545473508,171.2688998029348,elbow_out_of_place
162.0,172.0,19.5,0.7798344042923584,-0.4814814814814814,54,59.81481481481482,77.01851851851852,164.62482162530011,152.3392376819344,elbow_out_of_place
145.0,165.0,17.0,0.84259055364981,3.073529411764706,34,69.47058823529412,75.11764705882354,172.87303902970703,164.98391752538708,elbow_out_of_place
182.0,206.0,19.0,2.7006543901600826,11.13953488372093,43,18.674418604651162,16.930232558139537,179.20477812012302,177.26364820360334,correct
179.0,221.0,19.0,2.9595541108574825,12.313953488372093,43,19.372093023255815,16.441860465116278,176.86403531858912,172.05959097900936,correct
169.0,221.0,20.5,2.4817727990938323,10.291666666666666,48,19.729166666666668,18.041666666666668,177.24860216764884,175.84538234364035,correct
172.0,221.0,21.5,2.25914535746997,9.357142857142858,42,19.904761904761905,17.142857142857142,173.8624327477817,172.25684875949537,correct
173.0,233.0,19.0,2.293221723686818,9.35593220338983,59,21.25423728813559,16.71186440677966,175.0210943676603,171.90768559902375,correct
152.0,189.0,20.5,2.4696633387233025,10.169354838709678,62,21.0,17.274193548387096,167.70609885503256,155.3513331356301,correct
171.0,184.0,15.0,2.1169869071396525,8.761904761904763,84,21.511904761904763,17.166666666666668,173.40520474538718,179.77183357159396,correct
177.0,187.0,17.0,1.2156116294237769,4.962686567164179,67,19.417910447761194,19.507462686567163,177.501750935297,179.72396173194798,correct
170.0,183.0,18.5,1.35636919954921,5.654929577464789,71,18.112676056338028,20.098591549295776,174.31353199319386,178.24525817995175,correct
175.0,184.0,18.0,1.4646073479340616,6.012658227848101,79,19.31645569620253,18.329113924050635,175.99741819805075,178.99512340413528,correct
168.0,177.0,15.5,0.9136253212573543,3.6133333333333333,75,17.84,20.173333333333332,173.38304981557914,179.89775742538268,correct
169.0,186.0,19.0,0.9029354189094764,2.911764705882353,68,19.0,21.779411764705884,179.83415829833092,177.42310467077152,correct
170.0,177.0,16.0,0.9834521999206016,3.7635135135135136,74,19.16216216216216,20.824324324324323,170.5627966146064,177.36674630505667,correct
169.0,175.0,17.0,0.8797546962211364,3.3732394366197185,71,19.408450704225352,20.704225352112676,176.543301615468,177.8599877767522,correct
167.0,173.0,15.0,1.051978424531122,4.232876712328767,73,19.91780821917808,19.534246575342465,175.24944372063595,178.46479955119548,correct
165.0,176.0,16.5,1.1733928348186422,4.817073170731708,82,19.536585365853657,19.24390243902439,174.1602985467269,178.99271123233507,correct
164.0,173.0,18.5,0.8174277224439702,2.9863013698630136,73,18.36986301369863,21.273972602739725,174.88871665981327,176.81688724093632,correct
166.0,176.0,17.0,1.0823856436987422,4.429577464788732,71,19.746478873239436,20.323943661971832,173.10365793154355,176.38893637369816,correct
163.0,170.0,17.5,1.1073514329769771,4.52,75,20.573333333333334,19.413333333333334,176.71932262802898,179.497326382487,correct
168.0,171.0,17.5,0.9855082650417585,4.0,87,20.114942528735632,19.42528735632184,177.32003813276293,178.95705652668613,correct
175.0,173.0,20.5,0.9406503020965805,2.783582089552239,67,17.28358208955224,25.955223880597014,178.21249328696433,174.3660817043413,correct
228.0,6.0,6.5,0.8925772155403698,-0.24074074074074073,27,27.185185185185187,19.444444444444443,172.33591219797066,4.053420477311732,elbow_out_of_place
177.0,191.0,18.0,0.8560885952954821,2.1691176470588234,68,22.779411764705884,18.602941176470587,179.6015623899189,178.36654269133248,correct
177.0,192.0,16.5,0.8838518764331593,1.5078125,64,24.3125,17.09375,179.86537996273844,179.07889182005306,correct
171.0,195.0,21.0,0.6912303402381247,0.6466666666666666,75,23.76,17.293333333333333,179.80446885397052,178.29480147711058,correct
171.0,186.0,23.0,0.6601911431786412,0.9754098360655737,61,22.83606557377049,17.34426229508197,179.7440436782406,179.51568378140448,correct
174.0,180.0,20.5,1.3060228797168192,3.8524590163934427,61,23.491803278688526,19.131147540983605,179.4050867986526,179.75982910857468,correct
170.0,183.0,20.0,0.9903627466350682,2.1923076923076925,65,23.907692307692308,18.93846153846154,179.93889162206395,179.89311997552286,correct
160.0,173.0,15.5,1.5571131141195056,5.712765957446808,47,21.851063829787233,18.4468085106383,178.54983811212793,179.80909148725547,partial_motion
120.0,133.0,19.5,0.7015102949323253,2.127906976744186,43,20.976744186046513,16.837209302325583,168.60682188938785,166.28258469306417,partial_motion
160.0,160.0,13.0,0.9264059312639935,-2.5925925925925926,54,22.203703703703702,21.12962962962963,176.7371671323575,178.75716297415082,partial_motion
163.0,163.0,18.0,0.8256490679959843,1.5897435897435896,39,21.153846153846153,17.58974358974359,179.18245435107636,179.39713117208868,partial_motion
157.0,156.0,19.5,0.7893747011548878,2.130952380952381,42,24.928571428571427,16.5,178.42162499289125,179.97180208169542,partial_motion
152.0,161.0,17.0,1.1373657855953119,3.7686567164179103,67,25.134328358208954,18.53731343283582,178.44472943854333,178.73586873211102,partial_motion
157.0,153.0,18.5,0.5127708382226426,-0.1111111111111111,54,21.814814814814813,16.314814814814813,178.24335300281658,176.77390356259568,partial_motion
121.0,133.0,15.0,1.1170537188430987,0.15789473684210525,38,22.63157894736842,20.55263157894737,153.18208666729245,139.33382698235192,partial_motion
157.0,158.0,19.5,1.236630679513198,3.89,50,26.24,16.56,178.15351506953397,178.78896098279316,partial_motion
156.0,153.0,12.0,0.7966368673534042,0.7416666666666667,60,24.866666666666667,19.183333333333334,170.76361567295788,178.3708093645232,partial_motion
156.0,158.0,19.0,0.6961958686334635,-0.16964285714285715,56,23.821428571428573,16.928571428571427,174.40166605128454,178.40843260337041,partial_motion
148.0,147.0,21.0,0.9850340473640875,2.7017543859649122,57,26.75438596491228,21.280701754385966,176.31457041499715,179.41140191277591,partial_motion
158.0,158.0,14.5,0.804787315881265,2.4166666666666665,60,20.416666666666668,18.416666666666668,177.62464997564783,179.37964649923214,partial_motion
156.0,159.0,15.0,0.6382502836054793,-1.423728813559322,59,20.966101694915253,21.88135593220339,179.22013808603393,179.7097137947623,partial_motion
153.0,160.0,19.0,0.7606060935220529,0.7111111111111111,45,22.333333333333332,17.666666666666668,174.99927531352606,179.26442412172432,partial_motion
153.0,159.0,17.5,0.6562114661245032,-0.5606060606060606,66,20.46969696969697,20.575757575757574,177.50059243839704,179.88887160579603,partial_motion
131.0,135.0,14.5,1.0345327981393637,-1.4042553191489362,47,18.97872340425532,21.127659574468087,148.182115971499,149.98542429013344,partial_motion
88.0,99.0,12.0,0.8763945952977039,3.0625,40,28.05,16.7,20.387596822485136,101.46504314981189,partial_motion
163.0,168.0,13.5,0.5846184453314762,-0.5555555555555556,63,25.174603174603174,15.904761904761905,177.82468951590727,179.80045736245066,partial_motion
161.0,164.0,14.5,0.4641729871549547,0.1171875,64,22.859375,16.796875,176.8124561626708,175.1517886294639,partial_motion
159.0,161.0,12.5,0.42534997759689347,0.08620689655172414,58,22.948275862068964,15.706896551724139,178.10357756150668,176.1009643005697,partial_motion
157.0,165.0,15.0,0.4131868876603115,-0.08088235294117647,68,24.485294117647058,19.33823529411765,173.23737200037394,166.31038210957348,partial_motion
158.0,168.0,14.5,0.33253509289649114,-0.6363636363636364,55,24.454545454545453,18.472727272727273,177.41824122836385,172.16698747323463,partial_motion
150.0,165.0,12.5,0.44336041236690876,-0.6846153846153846,65,23.584615384615386,18.723076923076924,173.28962541010304,170.23362283342948,partial_motion
137.0,148.0,14.5,0.9953447190504773,-3.5256410256410255,39,22.333333333333332,18.743589743589745,162.12467909154185,158.06593698984622,partial_motion
150.0,147.0,18.0,0.5577948531608548,-0.9791666666666666,72,36.638888888888886,37.388888888888886,178.03857110579594,179.22139095082645,elbow_out_of_place
158.0,158.0,22.5,0.6778474469423691,-0.2361111111111111,72,47.56944444444444,51.52777777777778,169.48682077411218,174.31950967771402,elbow_out_of_place
151.0,141.0,21.0,0.6027500457352493,-1.2191780821917808,73,45.83561643835616,52.465753424657535,172.25189410439597,171.9639797690081,elbow_out_of_place
145.0,146.0,18.0,0.5221150101907125,-1.9230769230769231,78,36.23076923076923,41.02564102564103,176.33837963675737,175.72696311099133,elbow_out_of_place
137.0,132.0,15.5,0.3955331806324288,0.421875,64,45.703125,50.15625,175.41770111678142,171.94159412851195,elbow_out_of_place
153.0,154.0,20.0,0.43958725516366753,0.25735294117647056,68,59.01470588235294,55.80882352941177,172.93653222824446,171.05362978270324,elbow_out_of_place
147.0,151.0,14.5,0.8328153676777642,-2.753846153846154,65,33.753846153846155,35.66153846153846,170.42079923566598,174.9128353163269,elbow_out_of_place
148.0,146.0,12.5,0.5623299769947738,-0.5142857142857142,70,37.44285714285714,39.5,173.62528984208961,175.7349126646141,elbow_out_of_place
151.0,157.0,18.5,0.7690904523328159,-2.588235294117647,68,44.5,46.5,179.7948643706497,179.59157455664825,elbow_out_of_place
151.0,149.0,19.5,0.7009895998558644,-2.072463768115942,69,34.666666666666664,37.27536231884058,179.04775243176397,176.823638879195,elbow_out_of_place
149.0,153.0,22.5,0.3604417718705546,-0.8846153846153846,65,36.98461538461538,36.56923076923077,179.40305013420345,179.0739276396669,elbow_out_of_place
150.0,148.0,18.0,0.47135114167102604,0.4393939393939394,66,34.984848484848484,34.5,179.5499136601964,177.32734092375708,elbow_out_of_place
148.0,142.0,16.0,0.43423547580968586,-0.39166666666666666,60,35.56666666666667,37.75,179.4325400780974,174.75944262139723,elbow_out_of_place
149.0,141.0,14.0,0.7085153373907843,-0.9017857142857143,56,31.982142857142858,32.785714285714285,178.4331148843354,174.41184848767676,elbow_out_of_place
158.0,159.0,8.0,0.7047775251054011,-2.49,50,33.08,34.66,172.43259438224575,171.303974306568,elbow_out_of_place
165.0,160.0,21.5,0.5549529865005569,-0.4215686274509804,51,49.509803921568626,47.23529411764706,175.04903795799268,178.81539216237655,elbow_out_of_place
184.0,179.0,17.0,0.8375867381324632,-0.09090909090909091,55,39.018181818181816,40.07272727272727,178.08290910362263,177.29405832908654,elbow_out_of_place
191.0,197.0,12.5,0.8965706263282119,-0.8703703703703703,54,35.77777777777778,49.425925925925924,150.51648491843784,149.505695778268,elbow_out_of_place
173.0,181.0,18.0,0.8368216786994966,-0.2037037037037037,54,53.55555555555556,61.75925925925926,178.36238798411676,178.51252258122847,elbow_out_of_place
189.0,199.0,7.5,0.6344412199610225,0.8611111111111112,54,41.22222222222222,49.925925925925924,145.005673708915,150.36233035285682,elbow_out_of_place
